|FPP|Entry
17113|desudatio|desudatio, desudationis n
17114|desudo|desudo, desudare, desudavi, desudatus v
17115|desudo|desudo, desudare, desudavi, desudatus v
17116|desuefacio|desuefacio, desuefacere, desuefactus v
17117|desuefio|desuefio, desueferi, desuefactus v
17118|desuesco|desuesco, desuescere, desuevi, desuetus v
17119|desuetudo|desuetudo, desuetudinis n
17120|desuetus|desuetus, desueta, desuetum adj
17121|desugo|desugo, desugere, desuxi, desuctus v
17122|desulco|desulco, desulcare, desulcavi, desulcatus v
17123|desulto|desulto, desultare, desultavi, desultatus v
17124|desultor|desultor, desultoris n
17125|desultorium|desultorium, desultorii n
17126|desultorius|desultorius, desultoria, desultorium adj
17127|desultrix|desultrix, (gen.), desultricis adj
17128|desultura|desultura, desulturae n
17129|desum|desum, deesse, defui, defuturus v
17130|desum|desum, desse, defui, defuturus v
17131|desumo|desumo, desumere, desumpsi, desumptus v
17132|desuo|desuo, desuere, desui, desutus v
17133|desuper|desuper adv
17134|desuper|desuper prep
17135|desuperne|desuperne adv
17136|desurgo|desurgo, desurgere, desurexi, desurectus v
17137|desurgo|desurgo, desurgere, desurrexi, desurrectus v
17138|desurrectio|desurrectio, desurrectionis n
17139|desursum|desursum adv
17140|detectio|detectio, detectionis n
17141|detector|detector, detectoris n
17142|detego|detego, detegere, detexi, detectus v
17143|detendo|detendo, detendere, detendi, detensus v
17144|detenso|detenso, detensare, detensavi, detensatus v
17145|detentatio|detentatio, detentationis n
17146|detentator|detentator, detentatoris n
17147|detentio|detentio, detentionis n
17148|detento|detento, detentere, detentavi, detentatus v
17149|detentus|detentus, detentus n
17150|detepesco|detepesco, detepescere, detepui, - v
17151|detergeo|detergeo, detergere, detersi, detersus v
17152|detergeo|detergeo, detergere, detersi, detersus v
17153|deterior|deterior adj
17154|deterioro|deterioro, deteriorare, deterioravi, deterioratus v
17155|deterioro|deterioro, deteriorare, deterioravi, deterioratus v
17156|deterius|deterius, deterrime adv
17157|determinabilis|determinabilis, determinabilis, determinabile adj
17158|determinatio|determinatio, determinationis n
17159|determinator|determinator, determinatoris n
17160|determinismus|determinismus, determinismi n
17161|determinista|determinista, deterministae n
17162|determino|determino, determinare, determinavi, determinatus v
17163|determino|determino, determinare, determinavi, determinatus v
17164|detero|detero, deterere, detrivi, detritus v
17165|detero|detero, deterere, detrivi, detritus v
17166|deterreo|deterreo, deterrere, deterrui, deterritus v
17167|detersio|detersio, detersionis n
17168|detestabilis|detestabilis, detestabile, detestabilior adj
17169|detestabiliter|detestabiliter adv
17170|detestatio|detestatio, detestationis n
17171|detestatio|detestatio, detestationis n
17172|detestator|detestator, detestatoris n
17173|detesto|detesto, detestare, -, detestatus v
17174|detestor|detestor, detestari, detestatus v
17175|detestor|detestor, detestoris n
17176|detexo|detexo, detexere, detexui, detextus v
17177|detineo|detineo, detinere, detinui, detentus v
17178|detineo|detineo, detinere, detinui, detentus v
17179|detondeo|detondeo, detondere, detondi, detonsus v
17180|detondeo|detondeo, detondere, detotondi, detonsus v
17181|detono|detono, detonare, detonui, detonitus v
17182|detono|detono, detonare, detonui, detonitus v
17183|detonsio|detonsio, detonsionis n
